date,type,tokens,requests
2020-01-01,Generation,3113,5
2020-01-01,Embedding,685,1
2020-01-01,Summarization,1384,3
2020-01-02,Generation,3363,5
2020-01-02,Embedding,805,3
2020-01-02,Summarization,1329,1
2020-01-03,Generation,3427,3
2020-01-03,Embedding,666,3
2020-01-03,Summarization,1513,1
2020-01-04,Generation,2412,5
2020-01-04,Embedding,654,1
2020-01-04,Summarization,1768,4
2020-01-05,Generation,2983,2
2020-01-05,Embedding,780,3
2020-01-05,Summarization,1735,2
2020-01-06,Generation,2984,2
2020-01-06,Embedding,572,2
2020-01-06,Summarization,1540,2
2020-01-07,Generation,3278,5
2020-01-07,Embedding,729,1
2020-01-07,Summarization,1396,4
2020-01-08,Generation,3546,5
2020-01-08,Embedding,664,3
2020-01-08,Summarization,1726,4
2020-01-09,Generation,3035,2
2020-01-09,Embedding,649,4
2020-01-09,Summarization,1918,4
2020-01-10,Generation,3486,3
2020-01-10,Embedding,804,1
2020-01-10,Summarization,1385,1
2020-01-11,Generation,2801,3
2020-01-11,Embedding,850,1
2020-01-11,Summarization,1563,1
2020-01-12,Generation,3049,2
2020-01-12,Embedding,688,1
2020-01-12,Summarization,1824,2
2020-01-13,Generation,3189,2
2020-01-13,Embedding,724,1
2020-01-13,Summarization,1136,2
2020-01-14,Generation,3124,1
2020-01-14,Embedding,612,3
2020-01-14,Summarization,1647,3
2020-01-15,Generation,3109,2
2020-01-15,Embedding,835,1
2020-01-15,Summarization,1591,3
2020-01-16,Generation,3467,1
2020-01-16,Embedding,619,2
2020-01-16,Summarization,1312,4
2020-01-17,Generation,3185,5
2020-01-17,Embedding,678,2
2020-01-17,Summarization,2221,2
2020-01-18,Generation,2735,2
2020-01-18,Embedding,781,4
2020-01-18,Summarization,1704,3
2020-01-19,Generation,3279,2
2020-01-19,Embedding,769,3
2020-01-19,Summarization,1836,2
2020-01-20,Generation,3129,4
2020-01-20,Embedding,763,3
2020-01-20,Summarization,1912,3
2020-01-21,Generation,2457,4
2020-01-21,Embedding,597,4
2020-01-21,Summarization,2059,2
2020-01-22,Generation,3328,5
2020-01-22,Embedding,758,1
2020-01-22,Summarization,1597,1
2020-01-23,Generation,2807,2
2020-01-23,Embedding,679,3
2020-01-23,Summarization,1494,4
2020-01-24,Generation,3086,3
2020-01-24,Embedding,694,1
2020-01-24,Summarization,2118,1
2020-01-25,Generation,2868,5
2020-01-25,Embedding,830,2
2020-01-25,Summarization,1385,1
2020-01-26,Generation,2824,1
2020-01-26,Embedding,593,1
2020-01-26,Summarization,1764,4
2020-01-27,Generation,2813,1
2020-01-27,Embedding,763,3
2020-01-27,Summarization,1862,3
2020-01-28,Generation,3461,3
2020-01-28,Embedding,818,4
2020-01-28,Summarization,1957,1
2020-01-29,Generation,2994,5
2020-01-29,Embedding,706,2
2020-01-29,Summarization,2068,2
2020-01-30,Generation,2978,4
2020-01-30,Embedding,811,3
2020-01-30,Summarization,1765,4
2020-01-31,Generation,3123,2
2020-01-31,Embedding,900,1
2020-01-31,Summarization,1912,4
2020-02-01,Generation,3444,5
2020-02-01,Embedding,735,3
2020-02-01,Summarization,1944,3
